episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
40,1.0,5.982804070451974,1.639935769444021,164.12191830734454,30.0,0.9973780767936269,[30.0, 0.9973780767936269],0.0,False,True,0.30948648739378687,0,45.297381734332326,230.486,prepare,0.0
40,2.0,5.983032643321059,1.6400475663781657,164.12541169747266,30.0,0.9934114468408521,[30.0, 0.9934114468408521],0.0,False,True,0.30906863628696263,0,45.297381734332326,230.514,in_progress,0.0
40,3.0,5.981708439204612,1.6403493191211989,164.1549701545311,29.43356252036031,0.6691484403104078,[29.43356252036031, 0.6691484403104078],0.0,False,True,0.31206272059710033,0,45.297381734332326,230.627,in_progress,0.0
40,4.0,5.9520216756627295,1.6440414265369179,165.29322574457578,-18.467934700053327,0.6149756171344258,[-18.467934700053327, 0.6149756171344258],0.0,False,True,0.3773302965933656,1,45.297381734332326,230.659,in_progress,0.0
40,5.0,5.94004528059959,1.6449492113513673,165.82398988755696,5.349702458195878,0.6173380780081923,[5.349702458195878, 0.6173380780081923],0.0,False,True,0.40330962755808114,1,45.297381734332326,230.732,in_progress,0.0
40,6.0,5.8822856128130105,1.649349784126325,168.06301939268576,0.22857210800880168,1.0,[0.22857210800880168, 1.0],0.0,False,True,0.5286161449156022,1,45.297381734332326,230.797,in_progress,0.0
40,7.0,5.858646003538572,1.652145854260795,168.57179981165552,-10.28307123054638,1.0,[-10.28307123054638, 1.0],0.0,False,True,0.5805018708588356,1,45.297381734332326,230.853,in_progress,0.0
40,8.0,5.809606412204669,1.660302429977024,168.95808355047984,-30.0,1.0,[-30.0, 1.0],0.0,False,True,0.6895952056207842,1,45.297381734332326,230.911,in_progress,0.0
40,9.0,5.772422831012654,1.6676040174234357,168.90947195073755,30.0,0.8201959972253952,[30.0, 0.8201959972253952],0.0,False,True,0.7729654027392983,1,45.297381734332326,231.022,in_progress,0.0
40,10.0,5.669239042075533,1.6845422335820712,169.6177576178634,-7.092177685460808,0.7999390361663596,[-7.092177685460808, 0.7999390361663596],0.0,False,True,1.002313314815122,2,45.297381734332326,231.067,in_progress,0.0
40,11.0,5.641048352438618,1.6878440962322832,170.0416111803841,3.388759001326214,0.7499292339542372,[3.388759001326214, 0.7499292339542372],0.0,False,True,1.06417412805008,2,45.297381734332326,231.151,in_progress,0.0
40,12.0,5.573083827261943,1.6923582273928006,171.7356758742197,-5.217349377287267,0.5,[-5.217349377287267, 0.5],0.0,False,True,1.2112365795439755,2,45.297381734332326,231.229,in_progress,0.0
40,13.0,5.51614072685865,1.6954559350015057,172.9136473131961,26.899538648758806,0.9040921558310765,[26.899538648758806, 0.9040921558310765],0.0,False,True,1.33403829438182,2,45.297381734332326,231.246,in_progress,0.0
40,14.0,5.504668305027636,1.696451363845241,173.01806736231347,30.0,0.9460809951467957,[30.0, 0.9460809951467957],0.0,False,True,1.3587243600675962,2,45.297381734332326,231.343,in_progress,0.0
40,15.0,5.404390051954883,1.6934703975869037,176.26496330472602,-7.48101975771127,0.7142842456311302,[-7.48101975771127, 0.7142842456311302],0.0,False,True,1.5697867263134273,2,45.297381734332326,231.392,in_progress,0.0
40,16.0,5.346733228482007,1.6850536542712855,179.08020289012168,30.0,0.7821438727818293,[30.0, 0.7821438727818293],0.0,False,True,1.687077991900083,3,45.297381734332326,231.448,in_progress,0.0
40,17.0,5.274455146889683,1.6654707673812181,-176.22454982988808,-27.64986747453112,0.5504939144663019,[-27.64986747453112, 0.5504939144663019],0.0,False,True,1.8286386589820878,3,45.297381734332326,231.545,in_progress,0.0
40,18.0,5.202025197389175,1.6429918527680551,-172.3236531241627,-17.490779358771018,0.5648031124184791,[-17.490779358771018, 0.5648031124184791],0.0,False,True,1.9687662701741655,3,45.297381734332326,231.603,in_progress,0.0
40,19.0,5.188819931501231,1.6392021963023857,-171.78155891323468,-30.0,1.0,[-30.0, 1.0],0.0,False,True,1.9945011105878134,3,45.297381734332326,231.641,in_progress,0.0
40,20.0,5.13069660412373,1.6267282416298001,-170.8530110577756,29.388457376739005,0.8511918902928701,[29.388457376739005, 0.8511918902928701],0.0,False,True,2.109567176105119,3,45.297381734332326,231.725,in_progress,0.0
40,21.0,5.0623694373652945,1.6111285991667195,-169.75453885251324,-30.0,0.5772742220467326,[-30.0, 0.5772742220467326],0.0,False,True,2.2450515270824445,3,45.297381734332326,231.79,in_progress,0.0
40,22.0,5.0433368381708075,1.6053627523228495,-169.20194098177367,-30.0,0.9985471345913838,[-30.0, 0.9985471345913838],0.0,False,True,2.281925558090017,3,45.297381734332326,231.844,in_progress,0.0
40,23.0,4.933608257389685,1.5852683759752006,-169.59635450781516,-30.0,0.6484762273500451,[-30.0, 0.6484762273500451],0.0,False,True,2.5025234842861686,4,45.297381734332326,231.917,in_progress,0.0
40,24.0,4.933608257389685,1.5852683759752006,-169.59635450781516,30.0,0.8489706567951629,[30.0, 0.8489706567951629],0.0,False,True,2.5025234842861686,4,45.297381734332326,232.006,in_progress,0.0
