Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
19,0.0,0.0,0.0,912.0,19.0,36.0,912.0,0.1,11.0,11.0,0.0,98.65814113616943,,,,,,,,,,,,,,,,,,,,,5.753600458100281,5.442534228465167,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,942.0,20.0,30.0,942.0,0.1,0.0,0.0,0.0,102.03111457824707,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,73.0,1.0,73.0,1015.0,0.1,40.0,40.0,0.0,161.19599986076355,,,,,,,,,,,,,,,,,,,,,18.705809468999796,15.301847710823125,39.33654724605233,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,101.0,2.0,28.0,1043.0,0.1,11.0,11.0,0.0,164.38766407966614,,,,,,,,,,,,,,,,,,,,,7.39748630327179,5.0915370719535895,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,132.0,3.0,31.0,1074.0,0.1,11.0,11.0,0.0,168.038836479187,,,,,,,,,,,,,,,,,,,,,6.6816005319874225,5.310203624065253,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,169.0,4.0,37.0,1111.0,0.1,10.0,10.0,0.0,172.28858923912048,,,,,,,,,,,,,,,,,,,,,5.354360856882519,4.936655590982482,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,252.0,5.0,83.0,1194.0,0.1,54.0,54.0,0.0,181.07022356987,,,,,,,,,,,,,,,,,,,,,27.566739936411057,18.990074445898397,52.651677883571146,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,344.0,6.0,92.0,1286.0,0.1,51.0,51.0,0.0,191.08149003982544,,,,,,,,,,,,,,,,,,,,,22.658319526897404,18.781291215049453,49.90409130186595,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,381.0,7.0,37.0,1323.0,0.1,11.0,11.0,0.0,194.94344973564148,,,,,,,,,,,,,,,,,,,,,5.598097743016489,5.448956397843653,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,413.0,8.0,32.0,1355.0,0.1,9.0,9.0,0.0,198.66580867767334,,,,,,,,,,,,,,,,,,,,,5.847559884926676,4.232379064472857,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,486.0,9.0,73.0,1428.0,0.1,20.0,20.0,0.0,206.85600352287292,,,,,,,,,,,,,,,,,,,,,8.47465203046197,8.341826441017332,19.79287038350839,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,512.0,10.0,26.0,1454.0,0.1,0.0,0.0,0.0,209.83889770507812,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,584.0,11.0,72.0,1526.0,0.1,29.0,29.0,0.0,217.5288689136505,,,,,,,,,,,,,,,,,,,,,15.176441313245826,10.081374940340652,28.471345907708997,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,608.0,12.0,24.0,1550.0,0.1,0.0,0.0,0.0,220.2983796596527,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
