episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
80,1.0,5.983138198160351,1.639965321814664,164.1496057541657,-30.0,0.6744226887124511,[-30.0, 0.6744226887124511],0.0,False,True,0.3087948327403204,0,45.297381734332326,633.761,prepare,0.0
80,2.0,5.983149705828711,1.639948688672607,164.15267021227163,-3.3711630783332325,1.0,[-3.3711630783332325, 1.0],0.0,False,True,0.3087603528125662,0,45.297381734332326,633.863,in_progress,0.0
80,3.0,5.94979332200121,1.650470126889577,163.83286796146587,-19.31349971601236,0.7814175414958623,[-19.31349971601236, 0.7814175414958623],0.0,False,True,0.3859441050757856,1,45.297381734332326,633.937,in_progress,0.0
80,4.0,5.942909235178734,1.6534146868374875,163.59408977359473,-30.0,0.5,[-30.0, 0.5],0.0,False,True,0.4023401515131901,1,45.297381734332326,633.966,in_progress,0.0
80,5.0,5.919474226239626,1.6638133704265319,162.80255536904917,-30.0,0.6536789139516772,[-30.0, 0.6536789139516772],0.0,False,True,0.45838233295107833,1,45.297381734332326,634.048,in_progress,0.0
80,6.0,5.873714361806533,1.6918441146004624,159.78565386316924,-30.0,1.0,[-30.0, 1.0],0.0,False,True,0.5724772966054904,1,45.297381734332326,634.104,in_progress,0.0
80,7.0,5.840127487417902,1.7165920085778392,156.97983242535574,-30.0,0.9405303774786151,[-30.0, 0.9405303774786151],0.0,False,True,0.6587412653329388,1,45.297381734332326,634.183,in_progress,0.0
80,8.0,5.775532343012378,1.7742694674158388,150.91580647127205,4.395992466253645,0.9370445969788717,[4.395992466253645, 0.9370445969788717],0.0,False,True,0.8306429423300574,1,45.297381734332326,634.211,in_progress,0.0
80,9.0,5.739147381458784,1.8102225162656256,147.7442507721614,-21.27700425803087,0.554019683611104,[-21.27700425803087, 0.554019683611104],0.0,False,True,0.9295837229828737,1,45.297381734332326,634.321,in_progress,0.0
80,10.0,5.684048087724802,1.8686941575822538,143.3543820146164,30.0,0.5663278219604353,[30.0, 0.5663278219604353],0.0,False,True,1.081840451819845,2,45.297381734332326,634.395,in_progress,0.0
80,11.0,5.637390689785136,1.9249073312323255,139.50514859802252,11.71220947884325,0.7237066548289863,[11.71220947884325, 0.7237066548289863],0.0,False,True,1.2148073543404228,2,45.297381734332326,634.494,in_progress,0.0
80,12.0,5.617002798006614,1.9510977089174721,137.8828699714451,30.0,0.5035540131340321,[30.0, 0.5035540131340321],0.0,False,True,1.2738903686164642,2,45.297381734332326,634.544,in_progress,0.0
80,13.0,5.592146501519559,1.9796740061651505,136.78112809174735,26.05293004966059,0.9039753238353618,[26.05293004966059, 0.9039753238353618],0.0,False,True,1.3447034094750276,2,45.297381734332326,634.562,in_progress,0.0
80,14.0,5.574128397350299,1.9986949627864634,136.41389967137002,-30.0,1.0,[-30.0, 1.0],0.0,False,True,1.3944816224822623,2,45.297381734332326,634.641,in_progress,0.0
80,15.0,5.5251357826290635,2.05240835348729,135.1948888383073,17.052529608077798,1.0,[17.052529608077798, 1.0],0.0,False,True,1.5310410589058785,2,45.297381734332326,634.688,in_progress,0.0
80,16.0,5.514814466336126,2.064544563486391,134.85122484515108,-10.371536634256277,0.912102143889783,[-10.371536634256277, 0.912102143889783],0.0,False,True,1.560307419699662,2,45.297381734332326,634.749,in_progress,0.0
80,17.0,5.45814751914702,2.137533393251295,132.44274331989175,-30.0,0.7530687750516322,[-30.0, 0.7530687750516322],0.0,False,True,1.7248417089482624,3,45.297381734332326,634.857,in_progress,0.0
80,18.0,5.426188588991376,2.190077667594493,129.73819761262425,1.9472571711303637,0.8074565638796319,[1.9472571711303637, 0.8074565638796319],0.0,False,True,1.824533610324031,3,45.297381734332326,634.917,in_progress,0.0
80,19.0,5.415246839074517,2.2092774283521788,128.7598592666118,-1.2479579921928483,0.8922455705311851,[-1.2479579921928483, 0.8922455705311851],0.0,False,True,1.8593986190828804,3,45.297381734332326,634.988,in_progress,0.0
80,20.0,5.3838007449124525,2.269767359782826,125.79346284204384,-30.0,0.5,[-30.0, 0.5],0.0,False,True,1.9628181716674433,3,45.297381734332326,635.042,in_progress,0.0
80,21.0,5.343947173705454,2.3688563817584143,120.3343843653916,16.267304594214316,1.0,[16.267304594214316, 1.0],0.0,False,False,2.109097510219283,3,45.297381734332326,635.151,in_progress,0.0
80,22.0,5.341714269424396,2.378600787791505,119.58567655654703,20.28370257401143,0.7390873573375822,[20.28370257401143, 0.7390873573375822],0.0,False,False,2.1197709864073393,3,45.297381734332326,635.182,in_progress,0.0
80,23.0,5.333987574519877,2.4048089152493257,118.10331006404058,30.0,1.0,[30.0, 1.0],0.0,False,False,2.152130128270085,3,45.297381734332326,635.271,in_progress,0.0
80,24.0,5.294149926674694,2.4946477692437745,116.66174200258713,-5.89218993040625,1.0,[-5.89218993040625, 1.0],0.0,False,False,2.291384729129114,3,45.297381734332326,635.315,in_progress,0.0
80,25.0,5.2756074930028,2.5307129316570074,116.73225344986692,-30.0,0.997928227045163,[-30.0, 0.997928227045163],0.0,False,False,2.352698216774567,4,45.297381734332326,635.378,in_progress,0.0
80,26.0,5.2501084180460404,2.586888660869968,116.17174336506187,-30.0,0.6058956991933158,[-30.0, 0.6058956991933158],0.0,False,False,2.441022771470478,4,45.297381734332326,635.457,in_progress,0.0
80,27.0,5.2194606279009825,2.6800526225949897,113.29890133055416,-14.168104767111961,0.7829948300952299,[-14.168104767111961, 0.7829948300952299],0.0,True,False,2.5628023847403116,4,45.297381734332326,635.517,off_track,0.0
81,1.0,3.8059341314386366,2.2650815771011144,163.77183034785813,-8.702419876106923,1.0,[-8.702419876106923, 1.0],0.0,False,True,0.30946616657285264,8,45.297381734332326,635.718,prepare,0.0
81,2.0,3.8059386435894726,2.265228780920716,163.73282594824548,2.034825454161229,0.5449474127472023,[2.034825454161229, 0.5449474127472023],0.0,False,True,0.30954751187394003,8,45.297381734332326,635.777,in_progress,0.0
81,3.0,3.7934556264593087,2.2700767261124235,163.45734452776367,-30.0,1.0,[-30.0, 1.0],0.0,False,True,0.33900827399216543,8,45.297381734332326,635.848,in_progress,0.0
81,4.0,3.779137444512759,2.2766101672439114,162.85724653803183,-20.903248640795656,0.7282667307528006,[-20.903248640795656, 0.7282667307528006],0.0,False,True,0.37340742345547473,8,45.297381734332326,635.914,in_progress,0.0
81,5.0,3.70711535473314,2.312892186585326,159.8972286708487,16.635057280398627,1.0,[16.635057280398627, 1.0],0.0,False,True,0.5485748594971516,8,45.297381734332326,636.03,in_progress,0.0
81,6.0,3.6767255382574286,2.329649299707449,158.59543752995467,-13.724685262004229,0.5,[-13.724685262004229, 0.5],0.0,False,True,0.6233916955107832,8,45.297381734332326,636.072,in_progress,0.0
81,7.0,3.6573956253344613,2.3405990589468058,157.8324917216195,-3.5475201360163133,0.6561777764814609,[-3.5475201360163133, 0.6561777764814609],0.0,False,True,0.6711620200413646,8,45.297381734332326,636.104,in_progress,0.0
81,8.0,3.6161908369245515,2.3620171130857464,156.8574715210932,30.0,0.9726822122240677,[30.0, 0.9726822122240677],0.0,False,True,0.7717904204548611,9,45.297381734332326,636.193,in_progress,0.0
81,9.0,3.5653180143431342,2.3848079298360236,156.6376055468066,30.0,1.0,[30.0, 1.0],0.0,False,True,0.893747280506843,9,45.297381734332326,636.247,in_progress,0.0
81,10.0,3.5104802428760906,2.4054149652343426,157.28714556475106,-30.0,1.0,[-30.0, 1.0],0.0,False,True,1.0232654476808232,9,45.297381734332326,636.312,in_progress,0.0
81,11.0,3.4428985109190964,2.432319962920102,157.5443487610594,-5.3892883325377845,1.0,[-5.3892883325377845, 1.0],0.0,False,True,1.1832396248785078,9,45.297381734332326,636.369,in_progress,0.0
81,12.0,3.407849292318268,2.446579166199725,157.5892625059988,22.060724411299766,0.6733919365095857,[22.060724411299766, 0.6733919365095857],0.0,False,True,1.2663994854726162,9,45.297381734332326,636.441,in_progress,0.0
81,13.0,3.3104248529175955,2.4773123265209076,159.47133047339793,23.567027908903356,0.773185555947278,[23.567027908903356, 0.773185555947278],0.0,False,True,1.4919028655100697,10,45.297381734332326,636.535,in_progress,0.0
81,14.0,3.3012956179830177,2.4795461119073594,159.74920243145314,30.0,0.7921384305302627,[30.0, 0.7921384305302627],0.0,False,True,1.512623672591293,10,45.297381734332326,636.565,in_progress,0.0
81,15.0,3.196266337388848,2.494124830227203,164.60034274063366,-16.22399800294845,0.5280254056646305,[-16.22399800294845, 0.5280254056646305],0.0,False,True,1.7442390575367201,10,45.297381734332326,636.67,in_progress,0.0
81,16.0,3.175388002537927,2.4940799852545252,165.97419574993327,-11.482351496499227,0.6081469009099766,[-11.482351496499227, 0.6081469009099766],0.0,False,True,1.7883168650519448,10,45.297381734332326,636.697,in_progress,0.0
